英文省份,年份,验光方式1非散瞳；2散瞳；3试片,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率
Zhejiang,2018.0,1.0,,,,,,,,,,,,,,,,,,,1268,1056,0.8328,,,
Zhejiang,2020.0,1.0,,,,,,,,,,,,,,,,,,,1242,1060,0.8532,,,
Zhejiang,2022.0,1.0,,,,,,,,,,,,,,,,,,,1321,1103,0.8347,,,
Zhejiang,2012.0,2.0,828,188,0.2271,,,,828,569,0.6878,,,,,,,,,,,,,,,
Beijing,2011.0,2.0,2923,727,0.2488,,,,1326,833,0.6286,,,,,,,,,,,,,,,
Liaoning,2012.0,2.0,616,112,0.1818,,,,438,243,0.5559000000000001,,,,566,410,0.7243999999999999,,,,,,,,,
Beijing,1995.0,3.0,943,213,0.2263,932,96,0.1026,943,281,0.2975,932,172,0.18489999999999998,942,551,0.5846,930,313,0.33649999999999997,937,619,0.6604000000000001,921,479,0.5202
Tianjin,1995.0,3.0,943,68,0.0723,932,29,0.0315,943,69,0.073,932,148,0.1585,942,348,0.3696,930,408,0.4391,937,364,0.3887,921,463,0.5027
Liaoning,1995.0,3.0,943,151,0.1598,932,53,0.056799999999999996,943,237,0.251,932,107,0.11470000000000001,942,564,0.5991,930,314,0.3373,937,753,0.8031,921,587,0.6373
Shanghai,1995.0,3.0,943,269,0.2849,932,116,0.1242,943,449,0.4756,932,284,0.30510000000000004,942,611,0.6487,930,536,0.5756,937,777,0.8294,921,736,0.7987000000000001
Jiangsu,1995.0,3.0,943,177,0.1877,932,74,0.07919999999999999,943,381,0.40409999999999996,932,205,0.22030000000000002,942,597,0.634,930,484,0.5196999999999999,937,760,0.8105,921,732,0.7945
Zhejiang,1995.0,3.0,943,233,0.24719999999999998,932,195,0.2097,943,395,0.41850000000000004,932,417,0.4476,942,705,0.7483,930,646,0.6942,937,804,0.8581,921,800,0.8684999999999999
Shandong,1995.0,3.0,943,121,0.1278,932,118,0.1267,943,362,0.3834,932,360,0.3861,942,665,0.7055,930,542,0.5821000000000001,937,797,0.8501000000000001,921,757,0.8220999999999999
Guangdong,1995.0,3.0,943,154,0.16329999999999997,932,23,0.0245,943,305,0.3233,932,83,0.0889,942,511,0.5421,930,304,0.32659999999999995,937,698,0.7445999999999999,921,517,0.5617
Beijing,2000.0,3.0,937,185,0.1974,998,116,0.1162,935,278,0.2973,917,159,0.1734,935,575,0.615,921,329,0.35719999999999996,933,744,0.7974,721,439,0.6089
Tianjin,2000.0,3.0,361,116,0.32130000000000003,718,36,0.0501,360,86,0.2389,720,102,0.1417,360,177,0.4917,720,235,0.3264,360,248,0.6889,721,417,0.5784
Liaoning,2000.0,3.0,1565,292,0.1866,1575,111,0.0705,1569,366,0.23329999999999998,1614,226,0.14,1528,690,0.45159999999999995,1608,457,0.2842,1546,1192,0.7709999999999999,1576,1037,0.6579999999999999
Shanghai,2000.0,3.0,1945,406,0.2087,1984,191,0.09630000000000001,1905,813,0.4268,2007,638,0.3179,1892,1224,0.6469,2152,1245,0.5785,1620,1261,0.7784,1751,1339,0.7646999999999999
Jiangsu,2000.0,3.0,949,238,0.25079999999999997,938,148,0.1578,936,374,0.3996,946,184,0.1945,948,654,0.6899,945,511,0.5407,923,793,0.8592,944,826,0.875
Zhejiang,2000.0,3.0,899,219,0.24359999999999998,900,103,0.1144,900,334,0.3711,900,380,0.42219999999999996,900,667,0.7411,900,639,0.71,899,776,0.8632,897,784,0.8740000000000001
Shandong,2000.0,3.0,1029,204,0.19829999999999998,1034,111,0.1074,1119,417,0.37270000000000003,1066,343,0.3218,1032,703,0.6812,1077,645,0.5989,1026,870,0.848,1104,924,0.8370000000000001
Guangdong,2000.0,3.0,900,154,0.1711,900,45,0.05,900,267,0.2967,900,89,0.0989,900,485,0.5389,899,234,0.26030000000000003,899,691,0.7686,898,481,0.5356000000000001
Beijing,2005.0,3.0,893,252,0.2822,927,169,0.18230000000000002,931,436,0.4683,935,286,0.3059,948,665,0.7015,942,497,0.5276,1090,857,0.7862,922,702,0.7614
